Redshift, Peak Luminosity, Isotropic Energy Catalog
        1194 Bursts
Burst #   z     L_B       E_iso
 2477   0.706     1.086     3.165
 2482   0.642     0.604     4.482
 2484   0.659     0.970     2.886
 2495  15.244  1424.898   517.131
 2500   0.684     0.909    12.560
 2505   3.238    30.661    49.728
 2508   3.159    42.784   111.770
 2509   0.647     1.892     8.839
 2510   1.642     3.849    27.975
 2511   1.687    12.915     8.870
 2519   0.665     0.996     7.056
 2522   2.155    60.255   237.904
 2528   0.958     1.052     1.889
 2533   1.866   169.831  1720.293
 2537   1.323    90.686    88.454
 2541   3.591    68.888   147.810
 2551   1.285     2.516     3.986
 2560   0.918     2.278    14.186
 2569   2.103    10.879    16.993
 2570   9.254  1001.348  1055.140
 2585   2.074     5.800     0.894
 2586   1.609    46.909    94.182
 2589   0.847     1.093     3.155
 2593   3.068    45.102    86.449
 2600   0.742     1.233     6.086
 2608  36.806  6042.662     0.000
 2611   0.308     5.982     6.455
 2619   1.837     5.299   168.327
 2620   0.624     0.717     2.092
 2628   3.349   180.873    99.976
 2632   8.592   596.850    76.890
 2634   1.545    10.669    52.821
 2636   1.329     2.691     6.271
 2640   4.557    88.149   132.774
 2641   2.395     7.193    38.245
 2660   0.514     0.388     1.293
 2662   0.777     1.380     6.423
 2663   2.887    16.610    30.179
 2665   0.469     0.666     3.475
 2671   0.635     0.275     0.873
 2680   2.047    12.246    25.847
 2681   2.337    33.841    92.381
 2688   0.943     1.967     7.343
 2691   2.265    29.479   134.105
 2695   0.449     0.188     3.148
 2696   0.895     1.183    15.882
 2700   0.927     6.783    51.445
 2703   4.908   411.645  1004.505
 2709   1.118     8.017    24.302
 2711   0.456     0.431     2.863
 2736   2.254    73.668    85.592
 2749   1.979    13.135    21.171
 2750   2.280     8.696     9.501
 2751   0.898     0.493     3.446
 2753   3.519    48.889    75.738
 2760   0.673     1.169     4.034
 2767   9.833   470.649    17.759
 2770   1.796    11.467   484.410
 2776   1.156     2.772     0.732
 2793   6.457  1740.804   969.740
 2797   1.809    81.148   165.038
 2798   0.611    29.452   223.724
 2799   2.959   150.843    76.714
 2812   1.029    26.456    70.628
 2831   0.701    71.416   847.450
 2843   2.170    32.533    41.340
 2848   2.874    10.726    14.846
 2850  22.092  1865.967    30.572
 2851   3.238    20.973     6.645
 2855   4.203   828.655  3725.816
 2857   2.122    11.811    13.488
 2862  11.718   532.247    43.120
 2863   0.246     0.153     3.228
 2877   1.892    31.320   121.419
 2880   1.368    11.725     8.526
 2889   3.319   399.259  1483.375
 2890  10.102  2361.734  5653.155
 2891   1.226    63.038   395.726
 2893   1.372     2.657     1.051
 2894   1.477    47.446    68.614
 2897   1.668    13.954    54.984
 2898  35.426  5872.776     0.000
 2913   2.953   105.454   114.993
 2916   5.969   176.327   173.883
 2919   0.927    14.884    57.422
 2922   2.199    29.884   186.587
 2924   0.420     0.151     2.468
 2925   3.417    66.886    42.640
 2927   2.056     6.129    13.625
 2929   2.861   366.397  1510.188
 2931   2.557    17.102    55.209
 2932   1.265     2.310     7.556
 2944  17.251  3457.431   347.280
 2945   1.970    19.415     8.799
 2947   0.507     0.204     1.202
 2948   2.042     4.711   103.097
 2950   3.223    32.184    67.760
 2958   1.156     8.776    54.304
 2961   2.417    18.443   157.516
 2980   1.862    10.763     2.927
 2984   2.913   300.153   626.264
 2985   4.724    54.658    67.515
 2986   1.584     3.433     4.269
 2990   1.484     3.890     2.667
 2993   3.123   385.329  1337.474
 2994   1.365   251.647   510.651
 2998   2.478    23.940    41.269
 3001   2.568    90.527    91.529
 3003   0.373     0.839    19.422
 3005   0.717     0.748     5.784
 3011   2.461    50.596   138.724
 3012   3.773    59.444    32.763
 3015   2.185    22.377    66.069
 3017   3.902    48.534   230.738
 3026  11.984   752.831   254.762
 3028   8.515   426.093    27.408
 3029   3.756    87.292   247.274
 3032   3.075    50.574    94.847
 3035   2.311   118.990   745.979
 3039   1.115    21.136    28.869
 3040   0.858     2.811     6.062
 3042   0.942    15.674   162.619
 3055   0.522     0.476     5.873
 3057   0.590    32.090   702.879
 3067   5.134  3325.698  3692.547
 3068   5.443    98.734    36.466
 3070   5.020   118.050   308.936
 3071   0.718     1.025    55.492
 3072   5.902   175.031   117.113
 3074   0.885     0.535     2.632
 3075   4.119   139.182   155.676
 3076   1.090     3.291    31.883
 3084   2.563    56.720    75.991
 3085   3.964    61.263   112.029
 3088   1.725     3.731     9.031
 3091   3.123    26.076    43.137
 3093   3.448    82.930   143.619
 3096   1.204     6.744    10.404
 3100   0.701     0.712     7.063
 3101   1.850    18.809    90.725
 3102   1.341     5.154    42.943
 3103   1.338     2.339     8.839
 3109   1.825    10.124    41.769
 3115   1.646    91.378   175.592
 3119   0.243     0.057     1.071
 3120  31.234  5347.375   227.183
 3127   0.607     0.423     1.795
 3128   1.448    94.390   572.730
 3129   8.689   194.696   137.148
 3130   0.516     0.221     0.748
 3131   1.059     5.743    18.580
 3132   1.511     5.707    10.225
 3134   1.566     2.952    11.344
 3135   1.438     5.769     7.280
 3138   0.401     4.815     4.514
 3141   1.866     5.122     1.322
 3143   0.811     3.392    10.715
 3146   2.791    28.152    42.232
 3155   0.864     3.085    10.931
 3156   1.338     1.884    44.769
 3159   2.748    25.352    15.078
 3160   2.467    32.743     9.080
 3166   7.626   155.546    75.039
 3168   1.262     1.691    10.129
 3174   0.536     0.186     5.724
 3177   7.713   683.784   193.559
 3178   1.138    85.095   334.188
 3193   1.528     4.297    23.730
 3212   2.842    46.496   183.686
 3217   3.274    38.448   134.907
 3220   0.344     0.187     4.656
 3227   0.717    23.282   136.747
 3229   2.316    11.169    12.430
 3237   1.347     7.890    21.816
 3241   0.833    22.084    93.241
 3242   0.450     1.014     2.689
 3245   1.146    47.421   892.687
 3247   1.833    12.640   295.972
 3255   0.968    21.211    41.107
 3256   0.505     0.653     2.710
 3257   0.437     0.845     7.075
 3267   1.042     1.164     6.583
 3269   2.024   136.888   169.695
 3279   3.319    50.861    68.181
 3283   2.478    46.634    45.504
 3290   0.713     7.168    23.196
 3292   1.721     6.070    61.111
 3303   6.575   614.203   382.409
 3306   3.440   124.815   391.425
 3307   5.346   164.116   179.176
 3321   0.938     1.228     2.831
 3322   5.286   108.110    53.904
 3324   0.633     0.379     0.526
 3330   2.953   373.036   882.466
 3336   4.476   125.707   535.023
 3345   2.358   109.711   412.853
 3350   4.036    53.125   105.917
 3351   3.372   162.744   251.792
 3352   0.506     1.163    53.598
 3356   3.223    49.995    34.907
 3357   3.583    17.229   153.993
 3358   1.078     2.489     8.798
 3364   0.952     1.432    27.582
 3369   1.204     2.337    12.772
 3370   3.297    34.404    30.042
 3378   8.086   572.553   258.472
 3403   0.688     0.377     2.013
 3405   1.602    24.771   113.476
 3407   1.332     6.565    30.959
 3408   1.721   126.261   785.025
 3415   1.156    22.082   110.074
 3416   2.204    19.736    21.889
 3436   2.545    97.019   271.043
 3439   0.462     0.520     5.634
 3448   2.379    39.126   948.002
 3458   1.524    69.428   217.335
 3464   1.992    33.240   275.488
 3465   1.788     4.947    36.755
 3467   5.567   248.078    67.101
 3472   1.507     5.187    15.863
 3480   0.971    66.962    40.630
 3481   0.599    17.558    52.650
 3485   0.734     0.772     8.701
 3488   2.316   165.849   121.316
 3489   3.937   571.829  1478.080
 3491   0.372     5.819    22.080
 3503   0.803     1.618     2.237
 3509   0.754     0.783     4.931
 3511   3.173    53.628    55.147
 3512   0.600     3.126    11.448
 3515   0.751     0.803     1.301
 3516   2.290   108.006   105.948
 3523   0.788    82.012   664.140
 3527   1.088     5.211     8.514
 3528   0.391     0.146     0.211
 3552   0.390     0.126     0.895
 3567   0.805     1.288    40.463
 3588   0.928     2.328    16.333
 3593   1.501   106.052   252.335
 3598   4.735   336.987   110.858
 3608   1.108     4.280     9.452
 3611   2.239    11.244     9.773
 3634   1.471    19.305   232.169
 3637   0.864     2.632     8.037
 3639   7.440   541.101   447.995
 3648   0.590     3.686    14.365
 3649   1.467    24.486    55.310
 3652   2.285    11.366    36.567
 3654   2.180    51.983    85.290
 3655   2.966    20.674    48.189
 3658   0.543     4.691    19.368
 3662   0.793     7.620    54.050
 3663  16.641  7475.264  3757.207
 3664   3.681    69.921   120.744
 3671   1.268     5.551    14.028
 3717   6.472   123.424   211.268
 3740   3.833    28.199    38.910
 3745   3.672    97.207   141.467
 3765   0.836    37.712    89.598
 3771   1.580     8.994    29.857
 3772   3.623    69.261   245.530
 3773   1.566     5.050    70.958
 3776   5.111   673.381   738.595
 3779   1.668     4.208     3.150
 3789   1.627    15.361    19.623
 3792   1.338     2.539     4.293
 3800   3.567    20.034    22.874
 3805   0.846     0.797     3.659
 3811   1.209     7.619    13.031
 3814   4.308   143.115    26.106
 3815   1.833    19.132    11.363
 3819   0.716     0.668     3.616
 3843   0.350     0.285     4.022
 3853   1.613    44.716    30.280
 3860   0.918    15.526   151.082
 3864   2.259    52.981    28.208
 3866   0.607     6.738     4.164
 3869   1.504     5.514     7.261
 3870   0.747    17.259    20.896
 3871   0.810     1.082     9.892
 3875   1.237     9.148     4.270
 3879   1.768    10.491    18.515
 3886   1.776    15.165    15.039
 3891   3.109   496.757   288.192
 3892   1.279     5.770     7.678
 3893   1.185     9.626    66.273
 3899   0.586     0.252     3.027
 3900   6.077   262.726   145.384
 3901   0.984     0.754     3.674
 3905   1.384    21.901    57.601
 3906   2.006    22.985    59.145
 3909   1.467    19.758    14.960
 3912   0.761     3.386    13.263
 3913   0.516     0.458     8.733
 3916   3.575    49.351   254.478
 3917   0.715     1.160    43.567
 3918   0.571     1.139    18.110
 3924   6.487   186.288   121.248
 3926   7.835   560.408   234.525
 3929   1.393    24.647   116.403
 3941   1.481     2.185     3.544
 3954   1.143    44.793    93.393
 4039   3.173   699.737  1760.677
 4146  11.406   404.016   534.706
 4157   0.667     1.696     5.405
 4216   3.599    62.915   146.670
 4251   1.291     1.054     2.281
 4256   4.661    67.752   106.808
 4350   1.083     7.119    41.601
 4368   0.614    30.911   215.283
 4388   1.228     2.802     9.775
 4556   0.847    22.963    68.316
 4653   1.254     4.571    13.817
 4701   1.033    22.427    98.249
 4710   2.001    33.317    39.436
 4745   1.254     9.453    38.602
 5080   3.689   141.710    57.455
 5255   1.587     7.871    19.905
 5304   1.123    60.791   256.673
 5305   7.065   235.484   275.426
 5379   0.718     2.274     6.428
 5387   0.502     0.488     2.359
 5389   6.785   810.727   478.676
 5407   0.451     0.216     3.053
 5409   0.921     1.307    24.851
 5411   1.320     2.461     6.577
 5412   4.416   124.650   372.365
 5415   0.454     0.300     1.861
 5416   1.566     8.353    21.111
 5417   0.821    10.236    18.673
 5419   4.619   248.492   135.513
 5421   2.836    60.022   264.073
 5423   1.273     2.044     2.387
 5427   3.764    64.644    89.000
 5428   1.438     6.076     6.227
 5433   1.714    23.542    44.320
 5434   0.969     1.662     7.792
 5446   2.332    12.092    80.454
 5447   2.019    61.614    92.825
 5450   2.979   190.734   318.620
 5451   1.098    12.456    26.633
 5452   2.107     8.024    76.297
 5454   9.745   651.117   348.014
 5456  14.411  3036.924   145.353
 5464   1.804    35.175    66.494
 5466   5.505    89.986   128.395
 5467   2.810    73.647    41.141
 5470   2.037   207.018   215.750
 5473   2.663   117.259   414.889
 5474   0.440     0.154     1.331
 5475   4.000   201.290   207.061
 5478   0.789     3.174    19.091
 5479   2.214    50.012   143.316
 5480   0.406     0.167     1.203
 5482   5.382   141.369   901.270
 5483   4.000    73.549    12.849
 5484   1.265     9.236    26.323
 5486   0.945    21.679   216.813
 5489   1.146    28.648   173.653
 5490   2.657    20.173    20.175
 5493   4.318    55.388   223.131
 5494   1.010     2.471     3.059
 5495   2.900    70.884    61.514
 5497   1.329     2.350    14.542
 5503   5.088    53.657    72.278
 5504   1.623    18.037     5.193
 5515   1.078     2.905    13.008
 5516   0.546     0.293     1.048
 5517   0.917     3.432     4.171
 5518   0.763     2.353    11.265
 5523   1.212     9.193    26.149
 5524   4.222    22.203    43.041
 5526   4.241   269.731   680.070
 5530   2.406    81.473    43.389
 5531   1.694    10.551    31.560
 5538   1.714     6.838    28.205
 5541   1.302     4.580    16.048
 5542   1.501    13.054    55.075
 5545   0.533     1.522     2.139
 5551   3.068    22.760   109.440
 5554   1.922    23.055   117.042
 5555   0.299     0.077     0.692
 5556   5.875   174.516    14.278
 5559   4.682    73.989    41.608
 5563   0.691    14.788     9.159
 5565   3.495    56.774    10.430
 5566   1.237     3.589    52.249
 5568   0.732    20.470    56.639
 5569   0.587     0.405     1.356
 5572  19.522  8394.354   118.318
 5573   1.409     2.865     7.837
 5574  12.202  1215.443   819.787
 5575   1.045    18.456    32.628
 5585   2.122    25.527   247.570
 5589   2.693    16.481    51.626
 5591   2.285    84.962  1020.426
 5593   0.742     4.385     9.297
 5594   0.667     0.417     1.103
 5601   0.518     2.249    10.125
 5605   1.710     7.365     8.009
 5606   4.416   173.529  1185.589
 5612   2.239     6.717   139.751
 5617   1.444    13.276   105.689
 5621   0.749    26.447    52.875
 5622   0.504     0.121     2.616
 5624   2.056    33.782   267.927
 5626   1.664     3.788    14.761
 5627   1.353     2.153     1.483
 5628   4.091   585.404   535.039
 5629   2.861   213.410   752.171
 5631   0.396     0.271     3.465
 5635   1.254     3.789     8.369
 5637   1.254     5.721    17.270
 5640   2.342    14.794    18.851
 5642   1.721    30.908   139.143
 5644   1.177    21.608    43.855
 5645   0.887     1.387     5.291
 5646   2.079     8.994    42.724
 5648   1.212     2.224    32.070
 5654   0.738     5.681   102.247
 5655   1.061     2.211     2.589
 5667   0.788     1.565     7.794
 5669   5.505   143.443   370.251
 5704   1.105    76.697    39.136
 5706   1.997    14.996   189.996
 5713   3.088    29.829    59.813
 5715   1.356     2.953    12.015
 5716   1.909     7.777    16.760
 5719   0.920     3.013     4.009
 5723   4.241    47.834    78.351
 5725   2.836   364.532   327.058
 5726   2.798   110.710    89.315
 5729   0.920     3.502    42.524
 5731   2.015    35.846   212.384
 5736   1.817     3.847    26.182
 5867   3.054   153.599    51.067
 5955   4.735   252.404    60.664
 5983   5.517   111.139   166.374
 5989   0.453    19.775     9.784
 5995   0.563    16.761   169.521
 6004   1.780    12.459    49.244
 6083   4.027   109.800    66.226
 6090   0.691     3.003     4.785
 6098   2.699    32.440    30.544
 6100   0.680    22.101    94.494
 6101   0.834     1.365    10.194
 6102   1.105     1.466     4.510
 6103   1.961    19.370    85.753
 6104   0.743     0.809     1.581
 6111   1.521     7.251    62.806
 6113   4.578   485.753   104.353
 6115   2.316    74.736   928.240
 6118   0.380     0.094     0.673
 6124   0.951    87.670   279.344
 6127   0.950     0.869    19.211
 6128   0.780     1.111     6.363
 6135   1.017     2.840     4.803
 6137   1.930     8.137     3.670
 6139   1.223     1.801    15.458
 6141   3.973   162.543    73.191
 6147   0.457     0.333     2.373
 6148   0.823     1.259     7.493
 6151   0.997     3.252     8.947
 6158   1.768     9.725     4.300
 6159   0.840     2.288    18.972
 6160   1.935     7.535    36.184
 6165   1.792     5.162    29.716
 6167   1.133     3.194    30.731
 6168   0.810    30.780   286.948
 6176   2.204     6.455    12.305
 6186   1.887     9.354    14.777
 6189   1.627    18.457    32.254
 6190   1.365     3.792    22.584
 6194  10.710  1108.677   733.785
 6198   0.706    65.275   118.933
 6207   7.870   562.124  1537.887
 6209   1.829    11.253    27.655
 6212   0.824     0.743     1.970
 6222   1.979     8.240    39.576
 6223   1.017     1.342     1.635
 6225   1.031     3.182    10.990
 6226   1.837    25.732   106.006
 6227   2.603    11.086     3.601
 6228   1.033     1.113     1.491
 6234   1.491     2.912     5.066
 6240   1.598     9.993   140.024
 6241  21.408  4046.388   205.451
 6242   2.234    68.898    69.580
 6244   0.588     0.318     6.125
 6249   0.655     1.020    28.634
 6251   5.227   951.073   206.309
 6266   1.038    11.350    84.676
 6269   1.566     4.292     6.261
 6270   0.360     0.117     0.979
 6272   0.740     2.007    18.593
 6273   0.643     0.526     5.503
 6274   1.308    53.199   188.159
 6279   0.981     2.012    17.944
 6280   3.223    40.539   269.796
 6283   0.423     0.171     0.637
 6285   2.423    12.029    39.687
 6288   8.067   705.031   207.337
 6298   2.868     7.948    13.487
 6300   0.672     0.568     0.532
 6303   0.525     1.484     9.351
 6304   1.001     1.386     2.804
 6305   1.291     1.964     3.330
